id,stateid,state_name,uplift_pct,cost,Comment,cash_transfer,training_program,nrega_program
211802211,21,Rajasthan,19.52%,8500,Uplifted 19.52% in Rajasthan due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
71025100,7,Gujarat,19.41%,10500,Uplifted 19.41% in Gujarat due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
1806060101,18,Nagaland,19.39%,6400,Uplifted 19.39% in Nagaland due to Cash Transfer (700) + Nrega Program (1) for 7 months.,700,0,1
60906200,6,Goa,19.3%,8500,Uplifted 19.3% in Goa due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
95104100,9,Himachal Pradesh,19.25%,10500,Uplifted 19.25% in Himachal Pradesh due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
331504111,33,Lakshadweep,19.17%,10500,Uplifted 19.17% in Lakshadweep due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
712020102,7,Gujarat,19.12%,10500,Uplifted 19.12% in Gujarat due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
30201111,3,Assam,19.03%,10500,Uplifted 19.03% in Assam due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
190607100,19,Odisha,19.01%,10500,Uplifted 19.01% in Odisha due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
95905200,9,Himachal Pradesh,18.95%,8500,Uplifted 18.95% in Himachal Pradesh due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
2312010111,23,Telangana,18.94%,6400,Uplifted 18.94% in Telangana due to Cash Transfer (700) + Nrega Program (1) for 7 months.,700,0,1
210803111,21,Rajasthan,18.92%,10500,Uplifted 18.92% in Rajasthan due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
31111221,3,Assam,18.89%,10500,Uplifted 18.89% in Assam due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
170002200,17,Mizoram,18.7%,10500,Uplifted 18.7% in Mizoram due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
710010109,7,Gujarat,18.67%,10500,Uplifted 18.67% in Gujarat due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
96701311,9,Himachal Pradesh,18.62%,8500,Uplifted 18.62% in Himachal Pradesh due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
1802080101,18,Nagaland,18.59%,8500,Uplifted 18.59% in Nagaland due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
94908100,9,Himachal Pradesh,18.57%,8500,Uplifted 18.57% in Himachal Pradesh due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
120001100,12,Kerala,18.52%,10500,Uplifted 18.52% in Kerala due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
2801070101,28,Andaman and Nicobar Islands,18.5%,10500,Uplifted 18.5% in Andaman and Nicobar Islands due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
200207100,20,Punjab,18.49%,10500,Uplifted 18.49% in Punjab due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
272002111,27,West Bengal,18.43%,10500,Uplifted 18.43% in West Bengal due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
210701112,21,Rajasthan,18.36%,10500,Uplifted 18.36% in Rajasthan due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
2415040111,24,Tripura,18.34%,8500,Uplifted 18.34% in Tripura due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
170006100,17,Mizoram,18.34%,8500,Uplifted 18.34% in Mizoram due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
234103100,23,Telangana,18.3%,8500,Uplifted 18.3% in Telangana due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
210802311,21,Rajasthan,18.29%,8400,Uplifted 18.29% in Rajasthan due to Cash Transfer (700) + Training Program (1) + Nrega Program (1) for 7 months.,700,1,1
272706200,27,West Bengal,18.29%,8500,Uplifted 18.29% in West Bengal due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
2702050101,27,West Bengal,18.23%,8500,Uplifted 18.23% in West Bengal due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
170001100,17,Mizoram,18.18%,8500,Uplifted 18.18% in Mizoram due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
2421040111,24,Tripura,18.09%,8500,Uplifted 18.09% in Tripura due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
92001100,9,Himachal Pradesh,18.07%,6400,Uplifted 18.07% in Himachal Pradesh due to Cash Transfer (700) + Nrega Program (1) for 7 months.,700,0,1
331502211,33,Lakshadweep,18.03%,6400,Uplifted 18.03% in Lakshadweep due to Cash Transfer (700) + Nrega Program (1) for 7 months.,700,0,1
90107100,9,Himachal Pradesh,18.02%,8500,Uplifted 18.02% in Himachal Pradesh due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
2206020201,22,Tamil Nadu,18.02%,6400,Uplifted 18.02% in Tamil Nadu due to Cash Transfer (700) + Nrega Program (1) for 7 months.,700,0,1
272703111,27,West Bengal,18.0%,10500,Uplifted 18.0% in West Bengal due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
191108100,19,Odisha,18.0%,8500,Uplifted 18.0% in Odisha due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
2708030101,27,West Bengal,18.0%,8500,Uplifted 18.0% in West Bengal due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
292533211,29,Chandigarh,17.95%,10500,Uplifted 17.95% in Chandigarh due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
331009311,33,Lakshadweep,17.9%,10500,Uplifted 17.9% in Lakshadweep due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
90301111,9,Himachal Pradesh,17.9%,8500,Uplifted 17.9% in Himachal Pradesh due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
30501111,3,Assam,17.78%,7000,Uplifted 17.78% in Assam due to Cash Transfer (500) + Training Program (1) + Nrega Program (1) for 7 months.,500,1,1
80603111,8,Haryana,17.73%,10500,Uplifted 17.73% in Haryana due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
81506100,8,Haryana,17.7%,6400,Uplifted 17.7% in Haryana due to Cash Transfer (700) + Nrega Program (1) for 7 months.,700,0,1
241201111,24,Tripura,17.69%,10500,Uplifted 17.69% in Tripura due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
2210090101,22,Tamil Nadu,17.68%,7000,Uplifted 17.68% in Tamil Nadu due to Cash Transfer (1000) for 7 months.,1000,0,0
180608200,18,Nagaland,17.66%,10500,Uplifted 17.66% in Nagaland due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
232308100,23,Telangana,17.63%,8500,Uplifted 17.63% in Telangana due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
272001111,27,West Bengal,17.6%,10500,Uplifted 17.6% in West Bengal due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
221007100,22,Tamil Nadu,17.59%,8500,Uplifted 17.59% in Tamil Nadu due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
20105100,2,Arunachal Pradesh,17.54%,10500,Uplifted 17.54% in Arunachal Pradesh due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
311070101,3,Assam,17.51%,9000,Uplifted 17.51% in Assam due to Cash Transfer (1000) + Training Program (1) for 7 months.,1000,1,0
241908100,24,Tripura,17.48%,10500,Uplifted 17.48% in Tripura due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
2905350111,29,Chandigarh,17.47%,10500,Uplifted 17.47% in Chandigarh due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
1204060201,12,Kerala,17.46%,7000,Uplifted 17.46% in Kerala due to Cash Transfer (1000) for 7 months.,1000,0,0
211404111,21,Rajasthan,17.42%,6400,Uplifted 17.42% in Rajasthan due to Cash Transfer (700) + Nrega Program (1) for 7 months.,700,0,1
212402111,21,Rajasthan,17.37%,10500,Uplifted 17.37% in Rajasthan due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
321102311,32,Delhi,17.37%,10500,Uplifted 17.37% in Delhi due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
160009200,16,Meghalaya,17.32%,8500,Uplifted 17.32% in Meghalaya due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
92408200,9,Himachal Pradesh,17.31%,8500,Uplifted 17.31% in Himachal Pradesh due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
2101010101,21,Rajasthan,17.27%,10500,Uplifted 17.27% in Rajasthan due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
180601200,18,Nagaland,17.26%,10500,Uplifted 17.26% in Nagaland due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
180603200,18,Nagaland,17.25%,8500,Uplifted 17.25% in Nagaland due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
1204070201,12,Kerala,17.24%,7000,Uplifted 17.24% in Kerala due to Cash Transfer (1000) for 7 months.,1000,0,0
710250101,7,Gujarat,17.24%,9000,Uplifted 17.24% in Gujarat due to Cash Transfer (1000) + Training Program (1) for 7 months.,1000,1,0
2917010201,29,Chandigarh,17.23%,8500,Uplifted 17.23% in Chandigarh due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
1806080102,18,Nagaland,17.19%,8500,Uplifted 17.19% in Nagaland due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
1104040109,11,Karnataka,17.13%,8500,Uplifted 17.13% in Karnataka due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
273108100,27,West Bengal,17.11%,10500,Uplifted 17.11% in West Bengal due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
83201112,8,Haryana,17.1%,8500,Uplifted 17.1% in Haryana due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
120005200,12,Kerala,17.09%,5600,Uplifted 17.09% in Kerala due to Cash Transfer (300) + Training Program (1) + Nrega Program (1) for 7 months.,300,1,1
3329060101,33,Lakshadweep,17.08%,8400,Uplifted 17.08% in Lakshadweep due to Cash Transfer (700) + Training Program (1) + Nrega Program (1) for 7 months.,700,1,1
291935211,29,Chandigarh,17.02%,10500,Uplifted 17.02% in Chandigarh due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
190708200,19,Odisha,17.01%,8500,Uplifted 17.01% in Odisha due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
2714070101,27,West Bengal,17.01%,7000,Uplifted 17.01% in West Bengal due to Cash Transfer (1000) for 7 months.,1000,0,0
2726060101,27,West Bengal,17.01%,8500,Uplifted 17.01% in West Bengal due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
903010111,9,Himachal Pradesh,16.99%,10500,Uplifted 16.99% in Himachal Pradesh due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
181701100,18,Nagaland,16.97%,8500,Uplifted 16.97% in Nagaland due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
30704111,3,Assam,16.96%,7000,Uplifted 16.96% in Assam due to Cash Transfer (500) + Training Program (1) + Nrega Program (1) for 7 months.,500,1,1
212801200,21,Rajasthan,16.91%,8500,Uplifted 16.91% in Rajasthan due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
2014080201,20,Punjab,16.91%,8500,Uplifted 16.91% in Punjab due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
82605200,8,Haryana,16.9%,8500,Uplifted 16.9% in Haryana due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
230802111,23,Telangana,16.9%,8500,Uplifted 16.9% in Telangana due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
282304111,28,Andaman and Nicobar Islands,16.89%,5600,Uplifted 16.89% in Andaman and Nicobar Islands due to Cash Transfer (300) + Training Program (1) + Nrega Program (1) for 7 months.,300,1,1
2215050202,22,Tamil Nadu,16.88%,8500,Uplifted 16.88% in Tamil Nadu due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
102204200,10,Jharkhand,16.88%,10500,Uplifted 16.88% in Jharkhand due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
81801100,8,Haryana,16.88%,6400,Uplifted 16.88% in Haryana due to Cash Transfer (700) + Nrega Program (1) for 7 months.,700,0,1
2315020101,23,Telangana,16.85%,8500,Uplifted 16.85% in Telangana due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
271805200,27,West Bengal,16.81%,10500,Uplifted 16.81% in West Bengal due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
211906100,21,Rajasthan,16.73%,8400,Uplifted 16.73% in Rajasthan due to Cash Transfer (700) + Training Program (1) + Nrega Program (1) for 7 months.,700,1,1
2323010211,23,Telangana,16.73%,8500,Uplifted 16.73% in Telangana due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
2338030101,23,Telangana,16.72%,8500,Uplifted 16.72% in Telangana due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
2204060101,22,Tamil Nadu,16.71%,8500,Uplifted 16.71% in Tamil Nadu due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
201707200,20,Punjab,16.64%,8500,Uplifted 16.64% in Punjab due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
280107100,28,Andaman and Nicobar Islands,16.62%,10500,Uplifted 16.62% in Andaman and Nicobar Islands due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
2017080101,20,Punjab,16.61%,8500,Uplifted 16.61% in Punjab due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
815020111,8,Haryana,16.6%,8500,Uplifted 16.6% in Haryana due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
805060101,8,Haryana,16.59%,8500,Uplifted 16.59% in Haryana due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
241504111,24,Tripura,16.56%,8500,Uplifted 16.56% in Tripura due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
190709100,19,Odisha,16.5%,10500,Uplifted 16.5% in Odisha due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
96506100,9,Himachal Pradesh,16.47%,8500,Uplifted 16.47% in Himachal Pradesh due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
21006200,2,Arunachal Pradesh,16.45%,3500,Uplifted 16.45% in Arunachal Pradesh due to Training Program (1) + Nrega Program (1) for 7 months.,0,1,1
1909120101,19,Odisha,16.44%,8500,Uplifted 16.44% in Odisha due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
292536211,29,Chandigarh,16.44%,8500,Uplifted 16.44% in Chandigarh due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
923070101,9,Himachal Pradesh,16.44%,8500,Uplifted 16.44% in Himachal Pradesh due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
618030131,6,Goa,16.4%,8500,Uplifted 16.4% in Goa due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
96701111,9,Himachal Pradesh,16.4%,10500,Uplifted 16.4% in Himachal Pradesh due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
305050101,3,Assam,16.39%,8400,Uplifted 16.39% in Assam due to Cash Transfer (700) + Training Program (1) + Nrega Program (1) for 7 months.,700,1,1
60801111,6,Goa,16.38%,9000,Uplifted 16.38% in Goa due to Cash Transfer (1000) + Training Program (1) for 7 months.,1000,1,0
331601111,33,Lakshadweep,16.37%,10500,Uplifted 16.37% in Lakshadweep due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
2209010221,22,Tamil Nadu,16.36%,8400,Uplifted 16.36% in Tamil Nadu due to Cash Transfer (700) + Training Program (1) + Nrega Program (1) for 7 months.,700,1,1
1912040101,19,Odisha,16.36%,8500,Uplifted 16.36% in Odisha due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
281601112,28,Andaman and Nicobar Islands,16.36%,8500,Uplifted 16.36% in Andaman and Nicobar Islands due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
230504111,23,Telangana,16.35%,8500,Uplifted 16.35% in Telangana due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
230505111,23,Telangana,16.33%,8500,Uplifted 16.33% in Telangana due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
211802311,21,Rajasthan,16.28%,8500,Uplifted 16.28% in Rajasthan due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
301100101,3,Assam,16.27%,9000,Uplifted 16.27% in Assam due to Cash Transfer (1000) + Training Program (1) for 7 months.,1000,1,0
2701010111,27,West Bengal,16.26%,8500,Uplifted 16.26% in West Bengal due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
101407100,10,Jharkhand,16.26%,8400,Uplifted 16.26% in Jharkhand due to Cash Transfer (700) + Training Program (1) + Nrega Program (1) for 7 months.,700,1,1
10302100,1,Andhra Pradesh,16.25%,10500,Uplifted 16.25% in Andhra Pradesh due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
2325100101,23,Telangana,16.21%,8500,Uplifted 16.21% in Telangana due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
273107100,27,West Bengal,16.2%,8500,Uplifted 16.2% in West Bengal due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
231307100,23,Telangana,16.2%,8500,Uplifted 16.2% in Telangana due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
290537111,29,Chandigarh,16.19%,3500,Uplifted 16.19% in Chandigarh due to Training Program (1) + Nrega Program (1) for 7 months.,0,1,1
60501211,6,Goa,16.18%,6400,Uplifted 16.18% in Goa due to Cash Transfer (700) + Nrega Program (1) for 7 months.,700,0,1
211509111,21,Rajasthan,16.15%,10500,Uplifted 16.15% in Rajasthan due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
230506200,23,Telangana,16.13%,8500,Uplifted 16.13% in Telangana due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
180608100,18,Nagaland,16.11%,8500,Uplifted 16.11% in Nagaland due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
30905100,3,Assam,16.09%,7000,Uplifted 16.09% in Assam due to Cash Transfer (500) + Training Program (1) + Nrega Program (1) for 7 months.,500,1,1
1806020201,18,Nagaland,16.07%,8500,Uplifted 16.07% in Nagaland due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
211805221,21,Rajasthan,16.07%,10500,Uplifted 16.07% in Rajasthan due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
291203100,29,Chandigarh,16.06%,10500,Uplifted 16.06% in Chandigarh due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
212906200,21,Rajasthan,16.06%,8500,Uplifted 16.06% in Rajasthan due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
273002213,27,West Bengal,16.05%,8500,Uplifted 16.05% in West Bengal due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
81304111,8,Haryana,16.04%,8500,Uplifted 16.04% in Haryana due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
113140101,1,Andhra Pradesh,15.99%,3500,Uplifted 15.99% in Andhra Pradesh due to Training Program (1) + Nrega Program (1) for 7 months.,0,1,1
180603100,18,Nagaland,15.98%,10500,Uplifted 15.98% in Nagaland due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
2917020102,29,Chandigarh,15.95%,8500,Uplifted 15.95% in Chandigarh due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
815010121,8,Haryana,15.94%,8500,Uplifted 15.94% in Haryana due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
95903200,9,Himachal Pradesh,15.94%,8500,Uplifted 15.94% in Himachal Pradesh due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
1910100101,19,Odisha,15.91%,7000,Uplifted 15.91% in Odisha due to Cash Transfer (1000) for 7 months.,1000,0,0
2014080101,20,Punjab,15.9%,6400,Uplifted 15.9% in Punjab due to Cash Transfer (700) + Nrega Program (1) for 7 months.,700,0,1
234202111,23,Telangana,15.89%,8500,Uplifted 15.89% in Telangana due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
95405100,9,Himachal Pradesh,15.89%,8400,Uplifted 15.89% in Himachal Pradesh due to Cash Transfer (700) + Training Program (1) + Nrega Program (1) for 7 months.,700,1,1
2731010112,27,West Bengal,15.89%,8500,Uplifted 15.89% in West Bengal due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
3304050101,33,Lakshadweep,15.87%,7000,Uplifted 15.87% in Lakshadweep due to Cash Transfer (1000) for 7 months.,1000,0,0
120009200,12,Kerala,15.87%,10500,Uplifted 15.87% in Kerala due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
190906113,19,Odisha,15.83%,8500,Uplifted 15.83% in Odisha due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
212901111,21,Rajasthan,15.82%,8400,Uplifted 15.82% in Rajasthan due to Cash Transfer (700) + Training Program (1) + Nrega Program (1) for 7 months.,700,1,1
180207100,18,Nagaland,15.82%,8500,Uplifted 15.82% in Nagaland due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
291604200,29,Chandigarh,15.82%,10500,Uplifted 15.82% in Chandigarh due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
3205110101,32,Delhi,15.82%,7000,Uplifted 15.82% in Delhi due to Cash Transfer (1000) for 7 months.,1000,0,0
232303121,23,Telangana,15.81%,8500,Uplifted 15.81% in Telangana due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
1817070101,18,Nagaland,15.79%,8500,Uplifted 15.79% in Nagaland due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
1032050201,10,Jharkhand,15.79%,8500,Uplifted 15.79% in Jharkhand due to Cash Transfer (1000) + Nrega Program (1) for 7 months.,1000,0,1
707010101,7,Gujarat,15.79%,10500,Uplifted 15.79% in Gujarat due to Cash Transfer (1000) + Training Program (1) + Nrega Program (1) for 7 months.,1000,1,1
